C:\Users\melta\Desktop\SBU\Spring 2020\CSE 532 - ToDB\Assignments\HW 1 - New>db2 -tf q3a.sql

YEAR_MONTH              DOSAGE_COUNT             DOSAGE_SMOOTH_COUNT
----------------------- ------------------------ ------------------------
200601                    +2.95724400000000E+007   +2.83860880000000E+007
200602                    +2.71997360000000E+007   +2.96217900000000E+007
200603                    +3.20931940000000E+007   +2.95086233333333E+007
200604                    +2.92329400000000E+007   +2.95569303333333E+007
200605                    +2.73446570000000E+007   +3.01004003333333E+007
200606                    +3.37236040000000E+007   +3.09908866666667E+007
200607                    +3.19043990000000E+007   +3.31349523333333E+007
200608                    +3.37768540000000E+007   +3.23780293333333E+007
200609                    +3.14528350000000E+007   +3.28409980000000E+007
200610                    +3.32933050000000E+007   +3.08498363333333E+007
200611                    +2.78033690000000E+007   +3.12067096666667E+007
200612                    +3.25234550000000E+007   +3.16796640000000E+007
200701                    +3.47121680000000E+007   +3.29614223333333E+007
200702                    +3.16486440000000E+007   +3.44814586666667E+007
200703                    +3.70835640000000E+007   +3.37940180000000E+007
200704                    +3.26498460000000E+007   +3.51718453333333E+007
200705                    +3.57821260000000E+007   +3.43089233333333E+007
200706                    +3.44947980000000E+007   +3.53444313333333E+007
200707                    +3.57563700000000E+007   +3.56554873333333E+007
200708                    +3.67152940000000E+007   +3.51583620000000E+007
200709                    +3.30034220000000E+007   +3.57747146666667E+007
200710                    +3.76054280000000E+007   +3.52782113333333E+007
200711                    +3.52257840000000E+007   +3.65392483333333E+007
200712                    +3.67865330000000E+007   +3.65774646666667E+007
200801                    +3.77200770000000E+007   +3.65516313333333E+007
200802                    +3.51482840000000E+007   +3.66962910000000E+007
200803                    +3.72205120000000E+007   +3.64734490000000E+007
200804                    +3.70515510000000E+007   +3.72685653333333E+007
200805                    +3.75336330000000E+007   +3.72130436666667E+007
200806                    +3.70539470000000E+007   +3.81896233333333E+007
200807                    +3.99812900000000E+007   +3.81184650000000E+007
200808                    +3.73201580000000E+007   +3.86174060000000E+007
200809                    +3.85507700000000E+007   +3.88318450000000E+007
200810                    +4.06246070000000E+007   +3.83136436666667E+007
200811                    +3.57655540000000E+007   +3.98121266666667E+007
200812                    +4.30462190000000E+007   +3.90265036666667E+007
200901                    +3.82677380000000E+007   +3.94371313333333E+007
200902                    +3.69974370000000E+007   +3.89772560000000E+007
200903                    +4.16665930000000E+007   +3.97294613333333E+007
200904                    +4.05243540000000E+007   +4.07284406666667E+007
200905                    +3.99943750000000E+007   +4.10312223333333E+007
200906                    +4.25749380000000E+007   +4.16697158333333E+007
200907                    +4.24398345000000E+007   +4.14018581666667E+007
200908                    +3.91908020000000E+007   +4.10487318333333E+007
200909                    +4.15155590000000E+007   +4.11048163333333E+007
200910                    +4.26080880000000E+007   +4.14487873333333E+007
200911                    +4.02227150000000E+007   +4.27304103333333E+007
200912                    +4.53604280000000E+007   +4.15211803333333E+007
201001                    +3.89803980000000E+007   +4.07311020000000E+007
201002                    +3.78524800000000E+007   +4.07195600000000E+007
201003                    +4.53258020000000E+007   +4.18725940000000E+007
201004                    +4.24395000000000E+007   +4.30826373333333E+007
201005                    +4.14826100000000E+007   +4.29335396666667E+007
201006                    +4.48785090000000E+007   +4.33156930000000E+007
201007                    +4.35859600000000E+007   +4.42389076666667E+007
201008                    +4.42522540000000E+007   +4.39856500000000E+007
201009                    +4.41187360000000E+007   +4.39753600000000E+007
201010                    +4.35550900000000E+007   +4.46212223333333E+007
201011                    +4.61898410000000E+007   +4.55648706666667E+007
201012                    +4.69496810000000E+007   +4.59467980000000E+007
201101                    +4.47008720000000E+007   +4.45698259333333E+007
201102                    +4.20589248000000E+007   +4.53509756000000E+007
201103                    +4.92931300000000E+007   +4.50083229333333E+007
201104                    +4.36729140000000E+007   +4.63601113333333E+007
201105                    +4.61142900000000E+007   +4.60539713333333E+007
201106                    +4.83747100000000E+007   +4.61634366666667E+007
201107                    +4.40013100000000E+007   +4.68930800000000E+007
201108                    +4.83032200000000E+007   +4.63631750000000E+007
201109                    +4.67849950000000E+007   +4.69184250000000E+007
201110                    +4.56670600000000E+007   +4.60174250000000E+007
201111                    +4.56002200000000E+007   +4.60035700000000E+007
201112                    +4.67434300000000E+007   +4.57536196666667E+007
201201                    +4.49172090000000E+007   +4.50304723333333E+007
201202                    +4.34307780000000E+007   +4.46194773333333E+007
201203                    +4.55104450000000E+007   +4.38493810000000E+007
201204                    +4.26069200000000E+007   +4.48999843333333E+007
201205                    +4.65825880000000E+007   +4.44131990000000E+007
201206                    +4.40500890000000E+007   +4.49254990000000E+007
201207                    +4.41438200000000E+007   +4.47505830000000E+007
201208                    +4.60578400000000E+007   +4.37205616666667E+007
201209                    +4.09600250000000E+007   +4.37721233333333E+007
201210                    +4.42985050000000E+007   +4.28690533333333E+007
201211                    +4.33486300000000E+007   +4.31183050000000E+007
201212                    +4.17077800000000E+007   +4.30534150000000E+007
201301                    +4.41038350000000E+007   +4.13657450000000E+007
201302                    +3.82856200000000E+007   +4.06825130000000E+007
201303                    +3.96580840000000E+007   +4.00888620000000E+007
201304                    +4.23228820000000E+007   +4.17388960000000E+007
201305                    +4.32357220000000E+007   +4.15682226666667E+007
201306                    +3.91460640000000E+007   +4.18359916666667E+007
201307                    +4.31261890000000E+007   +4.12973800000000E+007
201308                    +4.16198870000000E+007   +4.04706986666667E+007
201309                    +3.66660200000000E+007   +3.99114356666667E+007
201310                    +4.14484000000000E+007   +3.80272033333333E+007
201311                    +3.59671900000000E+007   +3.86114360000000E+007
201312                    +3.84187180000000E+007   +3.74255680000000E+007
201401                    +3.78907960000000E+007   +3.65655890000000E+007
201402                    +3.33872530000000E+007   +3.61872930000000E+007
201403                    +3.72838300000000E+007   +3.58759293333333E+007
201404                    +3.69567050000000E+007   +3.72158366666667E+007
201405                    +3.74069750000000E+007   +3.71767073333333E+007
201406                    +3.71664420000000E+007   +3.86262756666667E+007
201407                    +4.13054100000000E+007   +3.92426523333333E+007
201408                    +3.92561050000000E+007   +4.00979550000000E+007
201409                    +3.97323500000000E+007   +4.01835116666667E+007
201410                    +4.15620800000000E+007   +3.89273866666667E+007
201411                    +3.54877300000000E+007   +3.97552200000000E+007
201412                    +4.22158500000000E+007   +3.88517900000000E+007

  108 record(s) selected.
